"batter","name","pa","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","barrel_batted_rate","flares_burners","solid","barrels","b_bb_percent","flare_burner_pa","solid_pa","barrel_pa","ipa"
405395," Albert Pujols",296,"0.256","0.46","0.302","0.322","0.302","0.204","90.3","9.1","49","9","20","0.047","0.17","0.03","0.07","0.121"
408234," Miguel Cabrera",526,"0.234","0.42","0.305","0.315","0.301","0.186","91.4","8.3","83","31","29","0.076","0.16","0.06","0.06","0.124"
425877," Yadier Molina",473,"0.255","0.406","0.29","0.306","0.3","0.151","88","5.2","105","28","19","0.051","0.22","0.06","0.04","0.119"
443558," Nelson Cruz Jr.",584,"0.265","0.514","0.346","0.364","0.341","0.249","92.9","13.6","77","30","53","0.087","0.13","0.05","0.09","0.150"
444482," David Peralta",538,"0.243","0.345","0.314","0.293","0.313","0.103","89.3","5","93","18","20","0.086","0.17","0.03","0.04","0.108"
444876," Alcides Escobar",349,"0.272","0.364","0.326","0.31","0.326","0.092","81.7","3","72","10","8","0.049","0.21","0.03","0.02","0.091"
446334," Evan Longoria",291,"0.253","0.487","0.352","0.352","0.344","0.235","94.1","13.4","45","17","24","0.120","0.15","0.06","0.08","0.160"
452678," Asdrubal Cabrera",352,"0.214","0.331","0.297","0.286","0.302","0.117","87.8","6","57","9","14","0.102","0.16","0.03","0.04","0.110"
453568," Charlie Blackmon",582,"0.292","0.457","0.333","0.361","0.37","0.165","87.6","7","124","15","30","0.093","0.21","0.03","0.05","0.130"
455117," Martin Maldonado",426,"0.183","0.312","0.258","0.267","0.282","0.129","88","5.7","58","16","14","0.110","0.14","0.04","0.03","0.103"
456715," Lorenzo Cain",286,"0.254","0.382","0.319","0.317","0.327","0.128","88.4","4.3","43","12","9","0.091","0.15","0.04","0.03","0.101"
456781," Donovan Solano",344,"0.275","0.432","0.324","0.335","0.34","0.158","88.3","7.5","73","15","17","0.073","0.21","0.04","0.05","0.127"
457705," Andrew McCutchen",574,"0.24","0.431","0.335","0.344","0.352","0.191","88.8","9","78","29","32","0.141","0.14","0.05","0.06","0.136"
457708," Justin Upton",362,"0.227","0.432","0.305","0.324","0.313","0.205","90.1","11.7","43","13","25","0.108","0.12","0.04","0.07","0.130"
457759," Justin Turner",612,"0.27","0.47","0.358","0.359","0.358","0.199","90.9","7.9","119","37","33","0.100","0.19","0.06","0.05","0.139"
457763," Buster Posey III",454,"0.281","0.469","0.379","0.361","0.37","0.188","88.5","8.1","88","20","25","0.123","0.19","0.04","0.06","0.142"
458015," Joey Votto",533,"0.274","0.592","0.391","0.406","0.383","0.318","92.9","17.2","76","29","55","0.144","0.14","0.05","0.10","0.181"
458731," Brett Gardner",461,"0.219","0.322","0.305","0.296","0.326","0.103","86.7","3.4","66","19","10","0.130","0.14","0.04","0.02","0.102"
462101," Elvis Andrus",541,"0.273","0.375","0.27","0.308","0.324","0.102","87.8","2.1","128","25","9","0.057","0.24","0.05","0.02","0.100"
467793," Carlos Santana",659,"0.244","0.422","0.294","0.335","0.345","0.178","89.9","6.8","99","33","31","0.131","0.15","0.05","0.05","0.128"
474832," Brandon Belt",381,"0.243","0.526","0.406","0.375","0.354","0.282","89.2","17","49","14","38","0.126","0.13","0.04","0.10","0.165"
475582," Ryan Zimmerman",273,"0.232","0.419","0.319","0.3","0.277","0.187","91.3","10.6","36","11","19","0.059","0.13","0.04","0.07","0.121"
476704," Jed Lowrie",512,"0.259","0.465","0.311","0.344","0.332","0.206","90.7","9.3","84","34","33","0.096","0.16","0.07","0.06","0.141"
488726," Michael Brantley Jr.",508,"0.312","0.466","0.347","0.361","0.365","0.154","89.5","5.8","128","25","24","0.065","0.25","0.05","0.05","0.134"
493329," Yuli Gurriel",605,"0.271","0.386","0.363","0.326","0.347","0.115","89.8","3.4","137","25","16","0.098","0.23","0.04","0.03","0.117"
500743," Miguel Rojas",539,"0.249","0.345","0.311","0.292","0.308","0.096","86.2","2.8","109","20","12","0.069","0.20","0.04","0.02","0.098"
500871," Eduardo Escobar",599,"0.249","0.455","0.334","0.328","0.31","0.206","87","8.9","96","25","37","0.080","0.16","0.04","0.06","0.127"
501571," Juan Lagares",327,"0.244","0.373","0.274","0.282","0.274","0.129","90.6","6.7","56","17","16","0.037","0.17","0.05","0.05","0.108"
502054," Tommy Pham",561,"0.258","0.443","0.318","0.354","0.366","0.185","90.8","10","78","31","35","0.139","0.14","0.06","0.06","0.143"
502110," J.D. Martinez",634,"0.288","0.534","0.364","0.374","0.352","0.246","92.1","12.5","102","46","52","0.087","0.16","0.07","0.08","0.155"
