last_name, first_name,player_id,year,b_total_pa,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Pujols, Albert,405395,2021,296,4.7,0.256,0.46,0.302,0.322,0.302,0.204,90.3,12,9.1
Cabrera, Miguel,408234,2021,526,7.6,0.234,0.42,0.305,0.315,0.301,0.186,91.4,10,8.3
Molina, Yadier,425877,2021,473,5.1,0.255,0.406,0.29,0.306,0.3,0.151,88,15.3,5.2
Cruz Jr., Nelson,443558,2021,584,8.7,0.265,0.514,0.346,0.364,0.341,0.249,92.9,11.8,13.6
Peralta, David,444482,2021,538,8.6,0.243,0.345,0.314,0.293,0.313,0.103,89.3,5.3,5
Escobar, Alcides,444876,2021,349,4.9,0.272,0.364,0.326,0.31,0.326,0.092,81.7,11.1,3
Longoria, Evan,446334,2021,291,12,0.253,0.487,0.352,0.352,0.344,0.235,94.1,15.5,13.4
Cabrera, Asdrubal,452678,2021,352,10.2,0.214,0.331,0.297,0.286,0.302,0.117,87.8,14.5,6
Blackmon, Charlie,453568,2021,582,9.3,0.292,0.457,0.333,0.361,0.37,0.165,87.6,10.2,7
Maldonado, Martin,455117,2021,426,11,0.183,0.312,0.258,0.267,0.282,0.129,88,17.6,5.7
Cain, Lorenzo,456715,2021,286,9.1,0.254,0.382,0.319,0.317,0.327,0.128,88.4,7.2,4.3
Solano, Donovan,456781,2021,344,7.3,0.275,0.432,0.324,0.335,0.34,0.158,88.3,11,7.5
McCutchen, Andrew,457705,2021,574,14.1,0.24,0.431,0.335,0.344,0.352,0.191,88.8,14.6,9
Upton, Justin,457708,2021,362,10.8,0.227,0.432,0.305,0.324,0.313,0.205,90.1,15.6,11.7
Turner, Justin,457759,2021,612,10,0.27,0.47,0.358,0.359,0.358,0.199,90.9,19.2,7.9
Posey III, Buster,457763,2021,454,12.3,0.281,0.469,0.379,0.361,0.37,0.188,88.5,8.7,8.1
Votto, Joey,458015,2021,533,14.4,0.274,0.592,0.391,0.406,0.383,0.318,92.9,18.2,17.2
Gardner, Brett,458731,2021,461,13,0.219,0.322,0.305,0.296,0.326,0.103,86.7,12.5,3.4
Andrus, Elvis,462101,2021,541,5.7,0.273,0.375,0.27,0.308,0.324,0.102,87.8,8.1,2.1
Santana, Carlos,467793,2021,659,13.1,0.244,0.422,0.294,0.335,0.345,0.178,89.9,12.9,6.8
Belt, Brandon,474832,2021,381,12.6,0.243,0.526,0.406,0.375,0.354,0.282,89.2,23,17
Zimmerman, Ryan,475582,2021,273,5.9,0.232,0.419,0.319,0.3,0.277,0.187,91.3,7.4,10.6
Lowrie, Jed,476704,2021,512,9.6,0.259,0.465,0.311,0.344,0.332,0.206,90.7,16.4,9.3
Brantley Jr., Michael,488726,2021,508,6.5,0.312,0.466,0.347,0.361,0.365,0.154,89.5,9.9,5.8
Gurriel, Yuli,493329,2021,605,9.8,0.271,0.386,0.363,0.326,0.347,0.115,89.8,13.4,3.4
Rojas, Miguel,500743,2021,539,6.9,0.249,0.345,0.311,0.292,0.308,0.096,86.2,11.5,2.8
Escobar, Eduardo,500871,2021,599,8,0.249,0.455,0.334,0.328,0.31,0.206,87,20.8,8.9
Lagares, Juan,501571,2021,327,3.7,0.244,0.373,0.274,0.282,0.274,0.129,90.6,8.8,6.7
Pham, Tommy,502054,2021,561,13.9,0.258,0.443,0.318,0.354,0.366,0.185,90.8,7.6,10
